Vix level,SPY,SH
0,70%,30%
1,70%,30%
2,69%,31%
3,68%,32%
4,67%,33%
5,66%,34%
6,65%,35%
7,64%,36%
8,63%,37%
9,62%,38%
10,61%,39%
11,60%,40%
12,59%,41%
13,58%,42%
14,57%,43%
15,56%,44%
16,55%,45%
17,54%,46%
18,53%,47%
19,52%,48%
20,51%,49%
21,50%,50%
22,49%,51%
23,48%,52%
24,47%,53%
25,46%,54%
26,45%,55%
27,44%,56%
28,43%,57%
29,42%,58%
30,41%,59%
31,40%,60%
32,39%,61%
33,38%,62%
34,37%,63%
35,36%,64%
36+,35%,65%
