Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,SPY Allocation,SH Allocation,Portfolio Return
2006-01-03,125.19000244140625,127.0,124.38999938964844,126.69999694824219,89.34788513183594,73256700,,100.0,0.0,
2006-01-04,126.86000061035156,127.48999786376953,126.69999694824219,127.30000305175781,89.77098083496094,51899600,0.0047353745698703875,100.0,0.0,0.0047353745698703875
2006-01-05,127.1500015258789,127.58999633789062,126.87999725341797,127.37999725341797,89.827392578125,47307500,0.0006283961992994413,100.0,0.0,0.0006283961992994413
2006-01-06,128.02000427246094,128.5800018310547,127.36000061035156,128.44000244140625,90.57488250732422,62885900,0.008321402945645096,80.0,20.0,0.006657122356516077
2006-01-09,128.4199981689453,129.05999755859375,128.3800048828125,128.77000427246094,90.8076171875,43527400,0.0025695278175708047,100.0,0.0,0.0025695278175708047
2006-01-10,128.38999938964844,128.97999572753906,128.25999450683594,128.89999389648438,90.89925384521484,44960800,0.001009129636400763,100.0,0.0,0.001009129636400763
2006-01-11,129.02000427246094,129.44000244140625,128.72999572753906,129.30999755859375,91.18839263916016,49598900,0.0031808709281340164,100.0,0.0,0.0031808709281340164
2006-01-12,129.0800018310547,129.27999877929688,128.44000244140625,128.8000030517578,90.82875061035156,40509200,-0.003943945258819581,100.0,0.0,-0.003943945258819581
2006-01-13,128.57000732421875,128.89999389648438,128.1999969482422,128.67999267578125,90.744140625,44856700,-0.0009315330749679607,100.0,0.0,-0.0009315330749679607
2006-01-17,128.1999969482422,128.4199981689453,127.80999755859375,128.3300018310547,90.4973373413086,52066600,-0.002719771017627659,100.0,0.0,-0.002719771017627659
2006-01-18,127.58000183105469,128.89999389648438,127.16000366210938,127.81999969482422,90.13766479492188,75067600,-0.003974399213870994,100.0,0.0,-0.003974399213870994
2006-01-19,128.1300048828125,128.77000427246094,127.80999755859375,128.30999755859375,90.48320007324219,81530400,0.003833417241354775,100.0,0.0,0.003833417241354775
2006-01-20,128.27999877929688,128.30999755859375,125.97000122070312,125.97000122070312,88.83307647705078,114957800,-0.018236795281949658,100.0,0.0,-0.018236795281949658
2006-01-23,126.20999908447266,126.81999969482422,126.12999725341797,126.41999816894531,89.150390625,67017400,0.0035720270031533996,100.0,0.0,0.0035720270031533996
2006-01-24,126.62999725341797,127.1500015258789,126.41999816894531,126.55000305175781,89.24205017089844,53008800,0.0010281451966260846,100.0,0.0,0.0010281451966260846
2006-01-25,127.04000091552734,127.18000030517578,125.83999633789062,126.66000366210938,89.31965637207031,87747700,0.0008696147278470789,100.0,0.0,0.0008696147278470789
